nPolygons: 32
4 {5000, 5000, -500} {-5000, 5000, -500} {-5000, -5000, -500} {5000, -5000, -500} 
4 {5000, 5000, 500} {-5000, 5000, 500} {-5000, -5000, 500} {5000, -5000, 500} 
8 {3779.5771825, 1733.27795817, -309.909067869} {3908.38109428, 1590.02779672, -342.678327713} {4072.71385014, 1529.47349126, -256.001881625} {4176.31152689, 1587.08696135, -100.653607592} {4158.48804723, 1729.1190063, 32.3656040919} {4029.68410948, 1872.36917448, 65.1348472443} {3865.35139467, 1932.92345551, -21.5415869605} {3761.75372216, 1875.31000935, -176.889831965} 
8 {-2403.13138297, -3589.39970043, 257.963223693} {-2363.37621221, -3638.54088348, 199.227876655} {-2281.51136439, -3661.04211891, 183.8326713} {-2205.49216628, -3643.72248303, 220.795915355} {-2179.8496182, -3596.72758305, 288.465045253} {-2219.60480454, -3547.58639624, 347.200394511} {-2301.46963235, -3525.08517062, 362.595590317} {-2377.48882025, -3542.40479769, 325.632359939} 
6 {4173.86002499, 2705.7561041, 148.567466924} {3682.27682866, 2944.4431248, 185.791138336} {3257.41608228, 3011.1078041, -153.4143051} {3184.1605873, 2914.28652459, -500} {4389.94178788, 2363.14977076, -500} {4444.20293083, 2434.86630003, -243.280326011} 
8 {-932.809911598, 2141.28895608, 32.1140287512} {-965.212369273, 2230.65359119, 53.4655338187} {-957.995330879, 2289.99479381, 130.396548828} {-915.386436631, 2284.55127975, 217.841922204} {-862.345394004, 2217.51179138, 264.577356728} {-829.942938592, 2128.14714811, 243.22583831} {-837.159978885, 2068.80596452, 166.294838777} {-879.768862788, 2074.24946868, 78.8494777903} 
8 {-1374.07625414, -65.0038355709, 213.545010418} {-1359.33746447, -30.1685200841, 140.040265304} {-1406.13371467, 4.2829888398, 81.2449942228} {-1487.05238302, 18.1694616762, 71.6006723434} {-1554.69242642, 3.35638970824, 116.756818651} {-1569.43120236, -31.478930018, 190.261569193} {-1522.63496367, -65.9304305469, 249.056825973} {-1441.71630933, -79.8169021208, 258.70114848} 
8 {-3481.91505598, 2794.99778731, -112.744098038} {-3391.95187647, 2838.53765377, -94.2407294987} {-3354.83001832, 2898.52423895, -21.0625454249} {-3392.29495722, 2939.81820734, 63.9236518404} {-3482.40025656, 2938.23011449, 110.934113024} {-3572.36343954, 2894.69023891, 92.4307321887} {-3609.4852831, 2834.70366791, 19.2525622039} {-3572.02035885, 2793.40970181, -65.7336234504} 
8 {-2829.16613122, -2255.14073778, -201.987112853} {-2852.92390798, -2291.15486075, -78.9285968091} {-2805.09028664, -2257.92235745, 37.7435702642} {-2713.68555928, -2174.91038115, 79.6843999124} {-2632.25336006, -2090.74620781, 22.3255311339} {-2608.49559304, -2054.7320919, -100.733005962} {-2656.32920801, -2087.96459296, -217.405137265} {-2747.73391529, -2170.97654942, -259.34597255} 
6 {-95.0099449632, 2349.47488633, -500} {-20.7283914957, 2306.05408965, -454.887366186} {16.6702371834, 2080.78194527, -351.716221372} {-122.034058891, 1874.19403629, -322.168931812} {-355.590167392, 1807.30678476, -383.553903263} {-547.21578655, 1919.4925238, -500} 
8 {334.944315831, 1103.99171648, -216.800846468} {232.504657614, 968.850398465, -231.1011743} {71.2466599541, 935.04249421, -188.504864104} {-54.3669105399, 1022.37223825, -113.96425475} {-70.7533613874, 1179.68305003, -51.1442131718} {31.6863137819, 1314.82437575, -36.8438883065} {192.944282722, 1348.63225542, -79.44019767} {318.557854095, 1261.30254116, -153.980796489} 
8 {-413.495507661, -4957.80221405, 126.028296128} {-357.655611008, -4806.37897972, 214.000418622} {-330.010076014, -4631.05004939, 166.233500802} {-346.753281782, -4534.52075197, 10.7087743952} {-398.077292536, -4573.33663565, -161.469518413} {-453.917193173, -4724.75989974, -249.441629935} {-481.562717313, -4900.08878244, -201.674711575} {-464.81952044, -4996.61807864, -46.150022241} 
